,Load [kWh/h],PV output [kWh/h,Prices [NOK/kWh]
706,1.82,0.01,0.29
707,2.51,0.03,0.28
708,1.9,0.04,0.27
709,1.91,0.03,0.27
710,2.16,0.02,0.27
711,2.38,0.0,0.27
712,2.79,0.0,0.27
713,2.03,0.0,0.28
714,3.5,0.0,0.28
715,4.25,0.0,0.27
716,3.3,0.0,0.26
717,4.29,0.0,0.26
718,4.4,0.0,0.25
719,3.48,0.0,0.24
720,2.12,0.0,0.25
721,1.73,0.0,0.24
722,2.37,0.0,0.24
723,1.75,0.0,0.24
724,1.82,0.0,0.24
725,1.89,0.0,0.24
726,2.58,0.0,0.24
727,2.0,0.0,0.25
728,2.02,0.0,0.25
729,2.9,0.0,0.25
730,2.6,0.03,0.26
731,2.57,0.06,0.25
732,3.19,0.05,0.25
733,2.47,0.04,0.25
734,2.44,0.02,0.25
735,2.54,0.01,0.25
736,3.25,0.0,0.26
737,3.15,0.0,0.26
738,2.85,0.0,0.26
739,2.99,0.0,0.25
740,2.48,0.0,0.25
741,4.23,0.0,0.25
742,2.03,0.0,0.25
743,2.09,0.0,0.25
744,2.65,0.0,0.25
745,2.08,0.0,0.24
746,1.89,0.0,0.24
747,2.23,0.0,0.24
748,2.19,0.0,0.24
749,1.89,0.0,0.24
750,2.15,0.0,0.24
751,2.15,0.0,0.25
752,2.76,0.0,0.25
753,2.43,0.0,0.25
754,2.35,0.02,0.25
755,2.83,0.03,0.25
756,3.64,0.03,0.25
757,4.09,0.03,0.25
758,2.52,0.02,0.25
759,2.53,0.0,0.25
760,2.97,0.0,0.25
761,4.05,0.0,0.26
762,2.64,0.0,0.26
763,2.9,0.0,0.26
764,3.26,0.0,0.25
765,2.45,0.0,0.25
766,3.36,0.0,0.25
767,2.47,0.0,0.25
768,2.77,0.0,0.25
769,1.98,0.0,0.25
770,2.03,0.0,0.25
771,2.06,0.0,0.25
772,2.51,0.0,0.25
773,2.42,0.0,0.25
774,2.75,0.0,0.27
775,4.46,0.0,0.28
776,4.24,0.0,0.28
777,2.84,0.0,0.28
778,2.76,0.02,0.28
779,2.57,0.03,0.28
780,2.95,0.04,0.28
781,2.77,0.03,0.28
782,2.7,0.02,0.28
783,2.79,0.01,0.28
784,3.05,0.0,0.29
785,2.38,0.0,0.28
786,4.28,0.0,0.28
787,4.21,0.0,0.28
788,4.01,0.0,0.27
789,2.51,0.0,0.27
790,3.44,0.0,0.26
791,2.29,0.0,0.26
792,2.06,0.0,0.25
793,2.64,0.0,0.25
794,2.12,0.0,0.25
795,2.23,0.0,0.25
796,2.92,0.0,0.25
797,2.2,0.0,0.26
798,2.45,0.0,0.28
799,3.66,0.0,0.29
800,3.74,0.0,0.3
801,2.97,0.01,0.32
802,2.65,0.04,0.31
803,4.23,0.04,0.3
804,2.34,0.04,0.3
805,2.85,0.03,0.3
806,2.36,0.02,0.31
807,2.12,0.0,0.32
808,2.22,0.0,0.34
809,4.19,0.0,0.35
810,3.2,0.0,0.33
811,3.06,0.0,0.31
812,5.44,0.0,0.29
813,5.53,0.0,0.27
814,4.71,0.0,0.26
815,4.61,0.0,0.26
816,3.84,0.0,0.26
817,2.44,0.0,0.25
818,2.38,0.0,0.25
819,2.42,0.0,0.25
820,3.15,0.0,0.26
821,2.44,0.0,0.27
822,2.64,0.0,0.31
823,3.44,0.0,0.43
824,3.06,0.0,0.53
825,2.54,0.01,0.53
826,2.94,0.02,0.52
827,2.34,0.03,0.39
828,2.49,0.03,0.38
829,2.45,0.02,0.4
830,4.66,0.01,0.4
831,4.43,0.0,0.42
832,2.68,0.0,0.42
833,3.62,0.0,0.51
834,3.35,0.0,0.53
835,3.96,0.0,0.38
836,3.0,0.0,0.32
837,3.95,0.0,0.3
838,3.82,0.0,0.28
839,2.38,0.0,0.26
840,2.94,0.0,0.26
841,2.27,0.0,0.26
842,2.23,0.0,0.26
843,2.43,0.0,0.25
844,2.99,0.0,0.26
845,2.38,0.0,0.27
846,3.54,0.0,0.31
847,4.36,0.0,0.35
848,2.77,0.0,0.33
849,2.74,0.01,0.3
850,3.05,0.01,0.29
851,2.85,0.01,0.29
852,2.65,0.02,0.27
853,2.99,0.01,0.28
854,3.08,0.01,0.28
855,2.05,0.0,0.28
856,2.02,0.0,0.28
857,3.3,0.0,0.28
858,3.92,0.0,0.27
859,2.69,0.0,0.27
860,3.12,0.0,0.27
861,1.95,0.0,0.26
862,2.84,0.0,0.26
863,2.24,0.0,0.25
864,1.8,0.0,0.25
865,2.26,0.0,0.24
866,1.7,0.0,0.24
867,1.55,0.0,0.24
868,1.61,0.0,0.24
869,1.52,0.0,0.25
870,2.24,0.0,0.26
871,3.31,0.0,0.27
872,3.1,0.0,0.27
873,1.65,0.01,0.27
874,1.65,0.02,0.27
875,1.76,0.01,0.27
876,2.6,0.01,0.27
877,3.18,0.02,0.27
878,3.13,0.01,0.26
879,3.17,0.0,0.26
880,3.42,0.0,0.26
881,2.87,0.0,0.26
882,2.18,0.0,0.26
883,2.36,0.0,0.26
884,2.99,0.0,0.25
885,2.15,0.0,0.25
886,4.13,0.0,0.25
887,2.48,0.0,0.24
888,2.04,0.0,0.24
889,2.04,0.0,0.23
890,1.45,0.0,0.23
891,1.81,0.0,0.23
892,1.83,0.0,0.23
893,1.47,0.0,0.23
894,1.53,0.0,0.24
895,1.74,0.0,0.24
896,2.32,0.0,0.24
897,1.83,0.0,0.25
898,4.21,0.02,0.25
899,4.63,0.02,0.25
900,3.83,0.02,0.25
901,2.37,0.02,0.25
902,2.94,0.03,0.25
903,5.4,0.0,0.25
904,2.87,0.0,0.25
905,3.5,0.0,0.25
906,2.82,0.0,0.25
907,3.46,0.0,0.25
908,2.46,0.0,0.25
909,2.46,0.0,0.25
910,3.09,0.0,0.25
911,2.66,0.0,0.24
912,2.49,0.0,0.24
913,1.9,0.0,0.24
914,2.51,0.0,0.24
915,1.94,0.0,0.24
916,2.01,0.0,0.24
917,2.01,0.0,0.25
918,2.43,0.0,0.25
919,2.34,0.0,0.25
920,2.27,0.0,0.25
921,2.41,0.0,0.25
922,2.81,0.01,0.25
923,2.2,0.01,0.25
924,2.11,0.01,0.25
925,3.0,0.01,0.25
926,1.82,0.0,0.25
927,2.35,0.0,0.25
928,2.55,0.0,0.25
929,2.13,0.0,0.26
930,3.63,0.0,0.26
931,2.95,0.0,0.26
932,2.64,0.0,0.25
933,2.73,0.0,0.25
934,1.89,0.0,0.25
935,2.81,0.0,0.25
936,2.74,0.0,0.24
937,1.62,0.0,0.23
938,1.47,0.0,0.23
939,1.61,0.0,0.23
940,2.27,0.0,0.24
941,1.71,0.0,0.24
942,3.02,0.0,0.25
943,3.1,0.0,0.25
944,1.91,0.0,0.26
945,1.71,0.0,0.26
946,2.37,0.0,0.26
947,1.73,0.0,0.26
948,1.66,0.01,0.25
949,1.64,0.01,0.25
950,1.63,0.02,0.25
951,2.53,0.0,0.25
952,2.28,0.0,0.26
953,1.86,0.0,0.27
954,2.43,0.0,0.26
955,1.96,0.0,0.26
956,1.9,0.0,0.25
957,2.25,0.0,0.24
958,2.2,0.0,0.24
959,1.73,0.0,0.23
960,1.77,0.0,0.23
961,2.04,0.0,0.23
962,1.52,0.0,0.22
963,1.51,0.0,0.22
964,2.1,0.0,0.23
965,1.6,0.0,0.23
966,1.54,0.0,0.25
967,1.74,0.0,0.26
968,2.2,0.0,0.26
969,1.77,0.0,0.26
970,3.26,0.01,0.26
971,1.96,0.01,0.26
972,2.42,0.01,0.25
973,2.67,0.02,0.25
974,1.71,0.01,0.25
975,2.26,0.0,0.25
976,2.49,0.0,0.26
977,3.65,0.0,0.26
978,1.99,0.0,0.26
979,2.27,0.0,0.25
980,2.37,0.0,0.25
981,2.1,0.0,0.25
982,2.69,0.0,0.24
983,3.15,0.0,0.24
984,1.61,0.0,0.23
985,1.52,0.0,0.23
986,2.55,0.0,0.22
987,1.32,0.0,0.22
988,1.31,0.0,0.23
989,1.51,0.0,0.24
990,2.19,0.0,0.25
991,1.62,0.0,0.26
